theme_folder	group	file_name	component_name	component_name_original	description	
pres	CLIMATE CHANGE	sea_level_rise	Sea level rise	Sea level rise	Current degree of sea level rise and flooding related to climate change	
pres	CLIMATE CHANGE	ocean_acidification	Ocean acidification	Ocean acidification	Current degrees of pH increase, related to CO2 emissions	
pres	CLIMATE CHANGE	storm_surges	Storm surges	Storm surges	Climate induced extreme storm events	
						
eco	function	spawning_area	Spawning area	Spawning area		
eco	function	nesting_area	Nesting area	Nesting area		
eco	function	nursery_area	Nursery area	Nursery area		
eco	function	feeding_ground	Feeding ground	Feeding ground		
eco	function	migration_route	Migration route	Migration route		
eco	function	biomass_hotspot	Biomass hotspot	Biomass hotspot		
eco	function	biodiversity_hotspot	Biodiversity hotspot	Biodiversity hotspot		
eco	function	biologically_important_area	Biologically important area	Biologically important area		
eco	function	threathened_species	Threathened species	Threathened species		
eco	function	threathened_habitat	Threathened habitat	Threathened habitat		
